"data_pregao","tipo_mercado","nome_empresa","cod_negociacao","preco_ultimo_negocio","retorno","garch_vol"
2015-01-05,10,"VALE","VALE3",20.96,-0.0151518050206022,0.765912714735441
2015-01-06,10,"VALE","VALE3",21.8,0.0392941103422019,0.722808983915333
2015-01-07,10,"VALE","VALE3",22.6,0.0360399364831969,0.710951286263811
2015-01-08,10,"VALE","VALE3",22.84,0.0105634785095692,0.695473995142648
2015-01-09,10,"VALE","VALE3",22.35,-0.0216870637282315,0.656036263065627
2015-01-12,10,"VALE","VALE3",22.64,0.0128919322754044,0.628631630338334
2015-01-13,10,"VALE","VALE3",22.51,-0.00575859841634124,0.596547523303283
2015-01-14,10,"VALE","VALE3",20.7,-0.0838259546473175,0.564148528105953
2015-01-15,10,"VALE","VALE3",20.94,0.0115275051710674,0.700454599209871
2015-01-16,10,"VALE","VALE3",21.88,0.0439117721113896,0.661044423125585
2015-01-19,10,"VALE","VALE3",21.65,-0.0105675231052816,0.665707761329668
2015-01-20,10,"VALE","VALE3",21.74,0.00414842724456458,0.628999289879426
2015-01-21,10,"VALE","VALE3",22.08,0.0155183397158311,0.593254356305962
2015-01-22,10,"VALE","VALE3",21.91,-0.0077290678015193,0.566453955676207
2015-01-23,10,"VALE","VALE3",20.52,-0.0655431333048064,0.537545987135887
2015-01-26,10,"VALE","VALE3",19.58,-0.0468913832002045,0.620931055873886
2015-01-27,10,"VALE","VALE3",19,-0.0300696579359238,0.638163111083482
2015-01-28,10,"VALE","VALE3",18.95,-0.00263504763800511,0.622899050967194
2015-01-29,10,"VALE","VALE3",18.05,-0.0486582467495453,0.587463915198848
2015-01-30,10,"VALE","VALE3",18.61,0.0305533858752695,0.614345456825131
2015-02-02,10,"VALE","VALE3",19.74,0.0589479633511762,0.60244994496317
2015-02-03,10,"VALE","VALE3",20.87,0.055665687083774,0.651644128199715
2015-02-04,10,"VALE","VALE3",20.55,-0.0154517801468658,0.683160109845794
2015-02-05,10,"VALE","VALE3",20.45,-0.00487805845343297,0.647777918116419
2015-02-06,10,"VALE","VALE3",20.42,-0.00146806975229116,0.610571767947066
2015-02-09,10,"VALE","VALE3",21.59,0.0557154317901963,0.576103144663036
2015-02-10,10,"VALE","VALE3",20.4,-0.0566953436765453,0.622193104211346
2015-02-11,10,"VALE","VALE3",21.1,0.0337381396318502,0.66205774477865
2015-02-12,10,"VALE","VALE3",21.58,0.0224939193479676,0.649060175373482
2015-02-13,10,"VALE","VALE3",22.48,0.0408590651955018,0.623056000032505
2015-02-18,10,"VALE","VALE3",22.71,0.0101793310919768,0.627435018249221
2015-02-19,10,"VALE","VALE3",22.1,-0.0272277475937599,0.593935695046027
2015-02-20,10,"VALE","VALE3",22.62,0.0232568621642672,0.579981190639741
2015-02-23,10,"VALE","VALE3",21.62,-0.0452156584769122,0.562330028938878
2015-02-24,10,"VALE","VALE3",22.04,0.0192401720736514,0.585759048425094
2015-02-25,10,"VALE","VALE3",22.14,0.00452694299577705,0.563059329599978
2015-02-26,10,"VALE","VALE3",21.25,-0.041029031910065,0.533346680272486
2015-02-27,10,"VALE","VALE3",21.25,0,0.552484427462677
2015-03-02,10,"VALE","VALE3",20.56,-0.0330094547834615,0.523198165888393
2015-03-03,10,"VALE","VALE3",20.79,0.0111246612829572,0.527857908775878
2015-03-04,10,"VALE","VALE3",20.39,-0.0194275172835577,0.504409054491352
2015-03-05,10,"VALE","VALE3",19.5,-0.0446301190166627,0.491082113812514
2015-03-06,10,"VALE","VALE3",19.59,0.00460476638674834,0.526346455978028
2015-03-09,10,"VALE","VALE3",19.54,-0.00255558534181275,0.500090000506576
2015-03-10,10,"VALE","VALE3",19.1,-0.0227753115620523,0.475940629989202
2015-03-11,10,"VALE","VALE3",18.86,-0.0126450578472728,0.470433700380712
2015-03-12,10,"VALE","VALE3",18.86,0,0.454199643803047
2015-03-13,10,"VALE","VALE3",18.88,0.00105988351204325,0.43435379945247
2015-03-16,10,"VALE","VALE3",18.9,0.00105876134824212,0.416568250094416
2015-03-17,10,"VALE","VALE3",19.88,0.0505522791628312,0.400644818074058
2015-03-18,10,"VALE","VALE3",19.59,-0.0146949692719786,0.473029445609129
2015-03-19,10,"VALE","VALE3",19.15,-0.0227165163297944,0.458311782581102
2015-03-20,10,"VALE","VALE3",20.25,0.0558520779258932,0.455047494905848
2015-03-23,10,"VALE","VALE3",20.38,0.00639923424203048,0.529376476459824
2015-03-24,10,"VALE","VALE3",19.58,-0.0400453906922145,0.503398153585426
2015-03-25,10,"VALE","VALE3",19.76,0.00915105521735761,0.525554477665149
2015-03-26,10,"VALE","VALE3",18.92,-0.0434401286959896,0.501179994175216
2015-03-27,10,"VALE","VALE3",18.35,-0.030589989123153,0.531590209386305
2015-03-30,10,"VALE","VALE3",18.62,0.0146066973483416,0.530789915607309
2015-03-31,10,"VALE","VALE3",17.94,-0.0372034152182709,0.509608114333152
2015-04-01,10,"VALE","VALE3",17.54,-0.0225488696866132,0.524584342860989
2015-04-02,10,"VALE","VALE3",18,0.0258877709521278,0.512693148385449
2015-04-06,10,"VALE","VALE3",18.13,0.00719626687059501,0.506718626342205
2015-04-07,10,"VALE","VALE3",19,0.0468709543996808,0.483257460875362
2015-04-08,10,"VALE","VALE3",18.75,-0.0132452267500207,0.525431856754356
2015-04-09,10,"VALE","VALE3",18.8,0.00266311741948363,0.503832874170784
2015-04-10,10,"VALE","VALE3",18.42,-0.0204198390087427,0.479316203645168
2015-04-13,10,"VALE","VALE3",18.24,-0.00982004618097568,0.470209508746249
2015-04-14,10,"VALE","VALE3",18.75,0.0275767677702346,0.451939316563616
2015-04-15,10,"VALE","VALE3",18.6,-0.00803217169726415,0.457170360059434
2015-04-16,10,"VALE","VALE3",18.06,-0.0294620327303163,0.439216793592859
2015-04-17,10,"VALE","VALE3",17.8,-0.0145010906907998,0.450163133139935
2015-04-20,10,"VALE","VALE3",17.73,-0.00394033721192294,0.437872593856303
2015-04-22,10,"VALE","VALE3",19.45,0.0925889499783388,0.420250800549961
2015-04-23,10,"VALE","VALE3",21.09,0.080951924426228,0.64284219995077
2015-04-24,10,"VALE","VALE3",23.2,0.0953532841815811,0.746826155295778
2015-04-27,10,"VALE","VALE3",23.46,0.0111445645530652,0.869557584963307
2015-04-28,10,"VALE","VALE3",22.55,-0.039561777276642,0.815479778158543
2015-04-29,10,"VALE","VALE3",21.11,-0.0659882040884582,0.7930854052569
2015-04-30,10,"VALE","VALE3",22.65,0.0704129900688136,0.824399807052193
2015-05-04,10,"VALE","VALE3",24.78,0.0898770242719534,0.860365567097014
2015-05-05,10,"VALE","VALE3",27.06,0.0880197465416455,0.939900998297591
2015-05-06,10,"VALE","VALE3",24.93,-0.0819847252071755,0.998439642647127
2015-05-07,10,"VALE","VALE3",23.88,-0.0430306090110653,1.0320870989479
2015-05-08,10,"VALE","VALE3",22.75,-0.0484761431274419,0.990693052371716
2015-05-11,10,"VALE","VALE3",23.28,0.0230294774662777,0.961282121811339
2015-05-12,10,"VALE","VALE3",22.33,-0.0416635570111706,0.906210794720768
2015-05-13,10,"VALE","VALE3",21.6,-0.0332377511619471,0.876525553122568
2015-05-14,10,"VALE","VALE3",21.33,-0.0125787822068603,0.839234909029868
2015-05-15,10,"VALE","VALE3",21.28,-0.00234686800981544,0.788386049395328
2015-05-18,10,"VALE","VALE3",20.24,-0.050106820054179,0.738839256496909
2015-05-19,10,"VALE","VALE3",20.12,-0.00594649918772619,0.744469726596123
2015-05-20,10,"VALE","VALE3",19.85,-0.013510338098339,0.69920665723661
2015-05-21,10,"VALE","VALE3",20.25,0.0199507864193487,0.661088208736271
2015-05-22,10,"VALE","VALE3",20.26,0.000493705267989302,0.631351885746751
2015-05-25,10,"VALE","VALE3",20.57,0.0151852048443285,0.594996093916401
2015-05-26,10,"VALE","VALE3",20.79,0.0106383982050558,0.567760655846433
2015-05-27,10,"VALE","VALE3",20.95,0.00766654449822524,0.540103318155691
2015-05-28,10,"VALE","VALE3",20.54,-0.0197644418677346,0.513604108170563
2015-05-29,10,"VALE","VALE3",20.05,-0.0241450507478339,0.499597416827595
2015-06-01,10,"VALE","VALE3",20.04,-0.000498877535914201,0.49298593467653
2015-06-02,10,"VALE","VALE3",21.35,0.0633214634579696,0.469319673418601
2015-06-03,10,"VALE","VALE3",20.89,-0.0217811641061591,0.563526800857002
2015-06-05,10,"VALE","VALE3",20.6,-0.013979499772939,0.546159904066564
2015-06-08,10,"VALE","VALE3",20.1,-0.0245712607305053,0.523004278362911
2015-06-09,10,"VALE","VALE3",19.98,-0.00598804184462267,0.514027765225018
2015-06-10,10,"VALE","VALE3",21.21,0.0597409953561837,0.489433019423759
2015-06-11,10,"VALE","VALE3",21.33,0.00564176390666809,0.566818282030648
2015-06-12,10,"VALE","VALE3",21.16,-0.00800192549316044,0.537063245841165
2015-06-15,10,"VALE","VALE3",20.34,-0.0395232163696848,0.511072692099873
2015-06-16,10,"VALE","VALE3",19.75,-0.029435899273283,0.530740420075073
2015-06-17,10,"VALE","VALE3",19.47,-0.0142786719630226,0.528140448956164
2015-06-18,10,"VALE","VALE3",20.4,0.0466600814660624,0.507086740225563
2015-06-19,10,"VALE","VALE3",20.32,-0.00392927813988944,0.543869932224763
2015-06-22,10,"VALE","VALE3",19.69,-0.0314947300592469,0.51583319971851
2015-06-23,10,"VALE","VALE3",19.81,0.00607596805942522,0.518837569173177
2015-06-24,10,"VALE","VALE3",19.8,-0.00050492300996995,0.493755698426138
2015-06-25,10,"VALE","VALE3",19.32,-0.0245411089161177,0.470015159827444
2015-06-26,10,"VALE","VALE3",19.62,0.0154086253528451,0.467907612474544
2015-06-29,10,"VALE","VALE3",19.2,-0.0216391751034813,0.454315556954969
2015-06-30,10,"VALE","VALE3",18.29,-0.0485558166309615,0.45003474218078
2015-07-01,10,"VALE","VALE3",18.11,-0.00989019050745228,0.5045117269661
2015-07-02,10,"VALE","VALE3",18.07,-0.00221116729118482,0.482740474898281
2015-07-03,10,"VALE","VALE3",17.68,-0.0218190473946397,0.460226562707584
2015-07-06,10,"VALE","VALE3",17.65,-0.00169827383019171,0.455421347548723
2015-07-07,10,"VALE","VALE3",17.93,0.0157395042377359,0.43555759120208
2015-07-08,10,"VALE","VALE3",17.16,-0.0438941935572253,0.426112650063254
2015-07-10,10,"VALE","VALE3",17.11,-0.00291800615571415,0.473177204117905
2015-07-13,10,"VALE","VALE3",18.5,0.078107644180177,0.451726908415203
2015-07-14,10,"VALE","VALE3",17.82,-0.0374493100416158,0.603882795626675
2015-07-15,10,"VALE","VALE3",17.11,-0.0406583341385612,0.604967811262428
2015-07-16,10,"VALE","VALE3",17.64,0.0305059626745431,0.611925041620532
2015-07-17,10,"VALE","VALE3",17.45,-0.0108294019302092,0.600257843138479
2015-07-20,10,"VALE","VALE3",17.31,-0.00805527946031829,0.569703194692171
2015-07-21,10,"VALE","VALE3",17.55,0.013769580723757,0.540630893247338
2015-07-22,10,"VALE","VALE3",17.29,-0.0149256502166758,0.517760400615276
2015-07-23,10,"VALE","VALE3",17.32,0.00173360343909003,0.498354457608017
2015-07-24,10,"VALE","VALE3",16.79,-0.0310784320448397,0.474244486449144
2015-07-27,10,"VALE","VALE3",16.76,-0.00178837603551238,0.482726613026843
2015-07-28,10,"VALE","VALE3",18.09,0.0763642043532667,0.460158372317727
2015-07-29,10,"VALE","VALE3",18.35,0.0142702750933757,0.602845766807154
2015-07-30,10,"VALE","VALE3",17.45,-0.0502899258521432,0.574154440124057
2015-07-31,10,"VALE","VALE3",17.87,0.0237836805229006,0.607331822656779
2015-08-03,10,"VALE","VALE3",17.59,-0.0157927704218699,0.587246852784025
2015-08-04,10,"VALE","VALE3",18.1,0.0285813795223133,0.561390857061065
2015-08-05,10,"VALE","VALE3",19.01,0.0490532182285578,0.553184632169819
2015-08-06,10,"VALE","VALE3",19.58,0.0295434806020264,0.58694362778978
2015-08-07,10,"VALE","VALE3",18.42,-0.0610716062752033,0.576951739417003
2015-08-10,10,"VALE","VALE3",19.35,0.04925538864863,0.637772121206135
2015-08-11,10,"VALE","VALE3",18.6,-0.0395308387566352,0.657040390356942
2015-08-12,10,"VALE","VALE3",18.92,0.0170579829045768,0.654453921612826
2015-08-13,10,"VALE","VALE3",18.48,-0.0235304974101942,0.622884415186448
2015-08-14,10,"VALE","VALE3",18.2,-0.0152674721307885,0.60097086105836
2015-08-17,10,"VALE","VALE3",18.01,-0.0104944348948848,0.57332536397499
2015-08-18,10,"VALE","VALE3",17.42,-0.0333081877635079,0.545137096369884
2015-08-19,10,"VALE","VALE3",16.84,-0.0338619626101762,0.54714441789627
2015-08-20,10,"VALE","VALE3",17.17,0.0194066660952036,0.549856006201611
2015-08-21,10,"VALE","VALE3",16.7,-0.0277549554866748,0.531193071006512
2015-08-24,10,"VALE","VALE3",15.4,-0.0810412100031259,0.525860326388314
2015-08-25,10,"VALE","VALE3",15.35,-0.00325203538637734,0.664322042724057
2015-08-26,10,"VALE","VALE3",15.9,0.0352036351929797,0.625355342814034
2015-08-27,10,"VALE","VALE3",17.69,0.106680398945508,0.619352212336552
2015-08-28,10,"VALE","VALE3",17.31,-0.0217151389835761,0.820495584412393
2015-08-31,10,"VALE","VALE3",17.92,0.0346330383586667,0.777177948313173
2015-09-01,10,"VALE","VALE3",17.1,-0.0468389440381703,0.752013463077726
2015-09-02,10,"VALE","VALE3",18.11,0.0573858083867077,0.749567204649065
2015-09-03,10,"VALE","VALE3",18.73,0.0336622445606751,0.768349483646528
2015-09-04,10,"VALE","VALE3",18.24,-0.0265095318098119,0.742872109333697
2015-09-08,10,"VALE","VALE3",18.93,0.0371309805750461,0.71164521025459
2015-09-09,10,"VALE","VALE3",19.06,0.00684393300482445,0.697754252478036
2015-09-10,10,"VALE","VALE3",19.94,0.0451358663076363,0.656688153036414
2015-09-11,10,"VALE","VALE3",19.45,-0.0248806944692371,0.664387685150408
2015-09-14,10,"VALE","VALE3",19.15,-0.0155443544378003,0.639546114972576
