data_pregao,tipo_mercado,nome_empresa,cod_negociacao,preco_exercicio,preco_ultimo_negocio_x,data_vencimento,numero_negocios,preco_ultimo_negocio_y,garch_vol,selic,moneyness
2015-01-05,70,VALE,VALEA18,17.85,0.97,2015-01-19,1473.0,20.96,0.0482479659326746,0.00043739,ITM
2015-01-05,70,VALE,VALEA20,19.85,0.14,2015-01-19,503.0,20.96,0.0482479659326746,0.00043739,ITM
2015-01-05,70,VALE,VALEA49,18.35,0.66,2015-01-19,1465.0,20.96,0.0482479659326746,0.00043739,ITM
2015-01-05,70,VALE,VALEA50,19.35,0.25,2015-01-19,945.0,20.96,0.0482479659326746,0.00043739,ITM
2015-01-06,70,VALE,VALEA18,17.85,1.57,2015-01-19,1370.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEA20,19.85,0.34,2015-01-19,1466.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEA49,18.35,1.17,2015-01-19,1988.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEA50,19.35,0.53,2015-01-19,2291.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEA51,20.35,0.18,2015-01-19,1612.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEA72,18.85,0.83,2015-01-19,534.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEB19,18.35,1.53,2015-02-09,644.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEB20,19.35,0.86,2015-02-09,724.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-06,70,VALE,VALEB21,20.35,0.45,2015-02-09,546.0,21.8,0.0455326861153156,0.00043739,ITM
2015-01-07,70,VALE,VALEA18,17.85,2.3,2015-01-19,770.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEA20,19.85,0.67,2015-01-19,3973.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEA49,18.35,1.87,2015-01-19,2236.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEA50,19.35,1.01,2015-01-19,5527.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEA51,20.35,0.41,2015-01-19,2903.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEA52,21.35,0.13,2015-01-19,1643.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEA64,21.85,0.07,2015-01-19,766.0,22.6,0.0447857213746556,0.00043739,ATM
2015-01-07,70,VALE,VALEA72,18.85,1.42,2015-01-19,1009.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEB20,19.35,1.36,2015-02-09,886.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEB21,20.35,0.8,2015-02-09,646.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-07,70,VALE,VALEB22,21.35,0.33,2015-02-09,520.0,22.6,0.0447857213746556,0.00043739,ITM
2015-01-08,70,VALE,VALEA20,19.85,0.62,2015-01-19,3785.0,22.84,0.0438107436776188,0.00043739,ITM
2015-01-08,70,VALE,VALEA49,18.35,1.86,2015-01-19,522.0,22.84,0.0438107436776188,0.00043739,ITM
2015-01-08,70,VALE,VALEA50,19.35,0.94,2015-01-19,2810.0,22.84,0.0438107436776188,0.00043739,ITM
2015-01-08,70,VALE,VALEA51,20.35,0.37,2015-01-19,2296.0,22.84,0.0438107436776188,0.00043739,ITM
2015-01-08,70,VALE,VALEA52,21.35,0.12,2015-01-19,1387.0,22.84,0.0438107436776188,0.00043739,ITM
2015-01-09,70,VALE,VALEA20,19.85,0.47,2015-01-19,4048.0,22.35,0.0413264000740904,0.00043739,ITM
2015-01-09,70,VALE,VALEA49,18.35,1.64,2015-01-19,792.0,22.35,0.0413264000740904,0.00043739,ITM
2015-01-09,70,VALE,VALEA50,19.35,0.77,2015-01-19,2900.0,22.35,0.0413264000740904,0.00043739,ITM
2015-01-09,70,VALE,VALEA51,20.35,0.25,2015-01-19,1127.0,22.35,0.0413264000740904,0.00043739,ITM
2015-01-09,70,VALE,VALEA72,18.85,1.12,2015-01-19,1658.0,22.35,0.0413264000740904,0.00043739,ITM
2015-01-09,70,VALE,VALEB20,19.35,1.24,2015-02-09,801.0,22.35,0.0413264000740904,0.00043739,ITM
2015-01-09,70,VALE,VALEB81,18.85,1.49,2015-02-09,569.0,22.35,0.0413264000740904,0.00043739,ITM
2015-01-12,70,VALE,VALEA20,19.85,0.38,2015-01-19,2110.0,22.64,0.0396000704796266,0.00043739,ITM
2015-01-12,70,VALE,VALEA49,18.35,1.58,2015-01-19,1134.0,22.64,0.0396000704796266,0.00043739,ITM
2015-01-12,70,VALE,VALEA50,19.35,0.73,2015-01-19,1572.0,22.64,0.0396000704796266,0.00043739,ITM
2015-01-12,70,VALE,VALEA51,20.35,0.2,2015-01-19,1039.0,22.64,0.0396000704796266,0.00043739,ITM
2015-01-12,70,VALE,VALEB20,19.35,1.16,2015-02-09,634.0,22.64,0.0396000704796266,0.00043739,ITM
2015-01-12,70,VALE,VALEB81,18.85,1.46,2015-02-09,569.0,22.64,0.0396000704796266,0.00043739,ITM
2015-01-13,70,VALE,VALEA20,19.85,0.34,2015-01-19,5204.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEA48,17.35,2.6,2015-01-19,609.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEA49,18.35,1.64,2015-01-19,882.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEA50,19.35,0.68,2015-01-19,3209.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEA51,20.35,0.15,2015-01-19,3115.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEA52,21.35,0.02,2015-01-19,733.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEA64,21.85,0.01,2015-01-19,507.0,22.51,0.0375789617117142,0.00043739,ATM
2015-01-13,70,VALE,VALEB20,19.35,1.15,2015-02-09,1707.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEB21,20.35,0.61,2015-02-09,1935.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEB81,18.85,1.57,2015-02-09,502.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEC19,19.35,1.79,2015-03-16,590.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-13,70,VALE,VALEC20,20.35,1.09,2015-03-16,623.0,22.51,0.0375789617117142,0.00043739,ITM
2015-01-14,70,VALE,VALEA18,17.85,0.76,2015-01-19,532.0,20.7,0.035538016854083,0.00043739,ITM
2015-01-14,70,VALE,VALEA20,19.85,0.05,2015-01-19,2115.0,20.7,0.035538016854083,0.00043739,ATM
2015-01-14,70,VALE,VALEA48,17.35,1.17,2015-01-19,520.0,20.7,0.035538016854083,0.00043739,ITM
2015-01-14,70,VALE,VALEA49,18.35,0.41,2015-01-19,1936.0,20.7,0.035538016854083,0.00043739,ITM
2015-01-14,70,VALE,VALEA50,19.35,0.09,2015-01-19,2698.0,20.7,0.035538016854083,0.00043739,ITM
2015-01-14,70,VALE,VALEA51,20.35,0.02,2015-01-19,1150.0,20.7,0.035538016854083,0.00043739,ATM
2015-01-14,70,VALE,VALEA72,18.85,0.19,2015-01-19,750.0,20.7,0.035538016854083,0.00043739,ITM
2015-01-14,70,VALE,VALEB19,18.35,0.85,2015-02-09,793.0,20.7,0.035538016854083,0.00043739,ITM
